"Relative Time","Throughput"
"00:00","0"
"00:02","0"
"00:04","0"
"00:06","1820704"
"00:08","0"
"00:10","1834862"
"00:12","0"
"00:14","0"
"00:16","1827159"
"00:18","0"
"00:20","1834872"
"00:22","0"
"00:24","0"
"00:26","6461.5"
"00:28","0"
"00:30","0"
"00:32","23751.5"
"00:34","0"
"00:36","23751.5"
"00:38","0"
"00:40","0"
"00:42","23751.5"
"00:44","403.5"
"00:46","23746.5"
"00:48","402.5"
"00:50","403"
"00:52","0"
"00:54","807"
"00:56","403.5"
"00:58","403.5"
"01:00","807"
"01:02","0"
"01:04","403.5"
"01:06","403.5"
"01:08","0"
"01:10","403.5"
"01:12","0"
"01:14","0"
"01:16","0"
"01:18","0"
"01:20","0"
"01:22","0"
"01:24","0"
"01:26","0"
"01:28","0"
"01:30","3693"
"01:32","0"
"01:34","3693.5"
"01:36","0"
"01:38","0"
"01:40","3693"
"01:42","0"
"01:44","7383"
