"Relative Time","Throughput"
"00:00","454954.4"
"00:08","0"
"00:16","454953.1"
"00:24","0"
"00:32","454951.5"
"00:40","0"
"00:48","0"
"00:56","4384.375"
"01:04","2081.25"
"01:12","4692.625"
"01:20","1773"
"01:28","5055.875"
"01:36","1409.25"
"01:44","0"
"01:52","0"
"02:00","442515.5"
"02:08","41"
"02:16","442557.5"
"02:24","442558.8"
"02:32","0"
"02:40","0"
"02:48","0"
"02:56","443330.5"
"03:04","0"
"03:12","443333"
"03:20","442559.3"
"03:28","0"
"03:36","0"
"03:44","0"
"03:52","0"
"04:00","0"
"04:08","0"
"04:16","506665"
